Date,Team.1,Team.2,FT
12/13/2008,Wigan,Blackburn,Mar-00
12/14/2008,Chelsea,West Ham,1-Jan
12/14/2008,Portsmouth,Newcastle,0-3
12/20/2008,Blackburn,Stoke,Mar-00
12/20/2008,Bolton,Portsmouth,1-Feb
12/20/2008,Fulham,Middlesbrough,Mar-00
12/20/2008,Hull,Sunderland,4-Jan
12/20/2008,West Ham,Aston Villa,0-1
12/21/2008,Arsenal,Liverpool,1-Jan
12/21/2008,Newcastle,Tottenham,1-Feb
12/21/2008,West Brom,Man City,1-Feb
12/22/2008,Everton,Chelsea,0-0
12/26/2008,Aston Villa,Arsenal,2-Feb
12/26/2008,Chelsea,West Brom,Feb-00
12/26/2008,Liverpool,Bolton,Mar-00
12/26/2008,Man City,Hull,1-May
12/26/2008,Middlesbrough,Everton,0-1
12/26/2008,Portsmouth,West Ham,4-Jan
12/26/2008,Stoke,Man United,0-1
12/26/2008,Sunderland,Blackburn,0-0
12/26/2008,Tottenham,Fulham,0-0
12/26/2008,Wigan,Newcastle,1-Feb
12/28/2008,Arsenal,Portsmouth,Jan-00
12/28/2008,Blackburn,Man City,2-Feb
12/28/2008,Bolton,Wigan,0-1
12/28/2008,Everton,Sunderland,Mar-00
12/28/2008,Fulham,Chelsea,2-Feb
12/28/2008,Newcastle,Liverpool,5-Jan
12/28/2008,West Brom,Tottenham,Feb-00
12/28/2008,West Ham,Stoke,1-Feb
12/29/2008,Man United,Middlesbrough,Jan-00
12/30/2008,Hull,Aston Villa,0-1
1/10/2009,Arsenal,Bolton,Jan-00
1/10/2009,Aston Villa,West Brom,1-Feb
1/10/2009,Everton,Hull,Feb-00
1/10/2009,Middlesbrough,Sunderland,1-Jan
1/10/2009,Newcastle,West Ham,2-Feb
1/10/2009,Stoke,Liverpool,0-0
1/11/2009,Man United,Chelsea,Mar-00
1/11/2009,Wigan,Tottenham,Jan-00
1/14/2009,Man United,Wigan,Jan-00
1/17/2009,Blackburn,Newcastle,Mar-00
1/17/2009,Bolton,Man United,0-1
1/17/2009,Chelsea,Stoke,1-Feb
1/17/2009,Hull,Arsenal,3-Jan
1/17/2009,Man City,Wigan,Jan-00
1/17/2009,Sunderland,Aston Villa,2-Jan
1/17/2009,West Brom,Middlesbrough,Mar-00
1/18/2009,Tottenham,Portsmouth,1-Jan
1/18/2009,West Ham,Fulham,1-Mar
1/19/2009,Liverpool,Everton,1-Jan
1/27/2009,Portsmouth,Aston Villa,0-1
1/27/2009,Sunderland,Fulham,Jan-00
1/27/2009,Tottenham,Stoke,1-Mar
1/27/2009,West Brom,Man United,0-5
1/28/2009,Blackburn,Bolton,2-Feb
1/28/2009,Chelsea,Middlesbrough,Feb-00
1/28/2009,Everton,Arsenal,1-Jan
1/28/2009,Man City,Newcastle,1-Feb
1/28/2009,West Ham,Hull,Feb-00
1/28/2009,Wigan,Liverpool,1-Jan
1/31/2009,Arsenal,West Ham,0-0
1/31/2009,Aston Villa,Wigan,0-0
1/31/2009,Bolton,Tottenham,2-Mar
1/31/2009,Fulham,Portsmouth,1-Mar
1/31/2009,Hull,West Brom,2-Feb
1/31/2009,Man United,Everton,Jan-00
1/31/2009,Middlesbrough,Blackburn,0-0
1/31/2009,Stoke,Man City,Jan-00
2/1/2009,Liverpool,Chelsea,Feb-00
2/1/2009,Newcastle,Sunderland,1-Jan
2/7/2009,Blackburn,Aston Villa,0-2
2/7/2009,Chelsea,Hull,0-0
2/7/2009,Everton,Bolton,Mar-00
2/7/2009,Man City,Middlesbrough,Jan-00
2/7/2009,Portsmouth,Liverpool,3-Feb
2/7/2009,Sunderland,Stoke,Feb-00
2/7/2009,West Brom,Newcastle,3-Feb
2/7/2009,Wigan,Fulham,0-0
2/8/2009,Tottenham,Arsenal,0-0
2/8/2009,West Ham,Man United,0-1
2/14/2009,Portsmouth,Man City,Feb-00
2/18/2009,Man United,Fulham,Mar-00
2/21/2009,Arsenal,Sunderland,0-0
2/21/2009,Aston Villa,Chelsea,0-1
2/21/2009,Bolton,West Ham,1-Feb
2/21/2009,Man United,Blackburn,1-Feb
2/21/2009,Middlesbrough,Wigan,0-0
2/21/2009,Stoke,Portsmouth,2-Feb
2/22/2009,Fulham,West Brom,Feb-00
2/22/2009,Liverpool,Man City,1-Jan
2/22/2009,Newcastle,Everton,0-0
2/23/2009,Hull,Tottenham,2-Jan
2/28/2009,Arsenal,Fulham,0-0
2/28/2009,Chelsea,Wigan,1-Feb
2/28/2009,Everton,West Brom,Feb-00
2/28/2009,Middlesbrough,Liverpool,Feb-00
3/1/2009,Aston Villa,Stoke,2-Feb
3/1/2009,Bolton,Newcastle,Jan-00
3/1/2009,Hull,Blackburn,2-Jan
3/1/2009,West Ham,Man City,Jan-00
3/3/2009,Liverpool,Sunderland,Feb-00
3/3/2009,Portsmouth,Chelsea,0-1
3/3/2009,West Brom,Arsenal,3-Jan
3/4/2009,Blackburn,Everton,0-0
3/4/2009,Fulham,Hull,0-1
3/4/2009,Man City,Aston Villa,Feb-00
3/4/2009,Newcastle,Man United,2-Jan
3/4/2009,Stoke,Bolton,Feb-00
3/4/2009,Tottenham,Middlesbrough,Apr-00
3/4/2009,Wigan,West Ham,0-1
3/7/2009,Sunderland,Tottenham,1-Jan
3/11/2009,Fulham,Blackburn,2-Jan
3/14/2009,Arsenal,Blackburn,Apr-00
3/14/2009,Bolton,Fulham,3-Jan
3/14/2009,Everton,Stoke,1-Mar
3/14/2009,Hull,Newcastle,1-Jan
3/14/2009,Man United,Liverpool,4-Jan
3/14/2009,Middlesbrough,Portsmouth,1-Jan
3/14/2009,Sunderland,Wigan,2-Jan
3/15/2009,Aston Villa,Tottenham,2-Jan
3/15/2009,Chelsea,Man City,Jan-00
3/16/2009,West Ham,West Brom,0-0
3/21/2009,Blackburn,West Ham,1-Jan
3/21/2009,Fulham,Man United,Feb-00
3/21/2009,Newcastle,Arsenal,3-Jan
3/21/2009,Portsmouth,Everton,1-Feb
3/21/2009,Stoke,Middlesbrough,Jan-00
3/21/2009,Tottenham,Chelsea,Jan-00
3/21/2009,West Brom,Bolton,1-Jan
3/22/2009,Liverpool,Aston Villa,May-00
3/22/2009,Man City,Sunderland,Jan-00
3/22/2009,Wigan,Hull,Jan-00
4/4/2009,Arsenal,Man City,Feb-00
4/4/2009,Blackburn,Tottenham,1-Feb
4/4/2009,Bolton,Middlesbrough,1-Apr
4/4/2009,Fulham,Liverpool,0-1
4/4/2009,Hull,Portsmouth,0-0
4/4/2009,Newcastle,Chelsea,0-2
4/4/2009,West Brom,Stoke,0-2
4/4/2009,West Ham,Sunderland,Feb-00
4/5/2009,Everton,Wigan,Apr-00
4/5/2009,Man United,Aston Villa,2-Mar
4/11/2009,Chelsea,Bolton,3-Apr
4/11/2009,Liverpool,Blackburn,Apr-00
4/11/2009,Middlesbrough,Hull,1-Mar
4/11/2009,Portsmouth,West Brom,2-Feb
4/11/2009,Stoke,Newcastle,1-Jan
4/11/2009,Sunderland,Man United,2-Jan
4/11/2009,Tottenham,West Ham,Jan-00
4/11/2009,Wigan,Arsenal,4-Jan
4/12/2009,Aston Villa,Everton,3-Mar
4/12/2009,Man City,Fulham,3-Jan
4/18/2009,Aston Villa,West Ham,1-Jan
4/18/2009,Middlesbrough,Fulham,0-0
4/18/2009,Portsmouth,Bolton,Jan-00
4/18/2009,Stoke,Blackburn,Jan-00
4/18/2009,Sunderland,Hull,Jan-00
4/19/2009,Man City,West Brom,2-Apr
4/19/2009,Tottenham,Newcastle,Jan-00
4/21/2009,Liverpool,Arsenal,4-Apr
4/22/2009,Chelsea,Everton,0-0
4/22/2009,Man United,Portsmouth,Feb-00
4/25/2009,Bolton,Aston Villa,1-Jan
4/25/2009,Everton,Man City,2-Jan
4/25/2009,Fulham,Stoke,Jan-00
4/25/2009,Hull,Liverpool,3-Jan
4/25/2009,Man United,Tottenham,2-May
4/25/2009,West Brom,Sunderland,Mar-00
4/25/2009,West Ham,Chelsea,0-1
4/26/2009,Arsenal,Middlesbrough,Feb-00
4/26/2009,Blackburn,Wigan,Feb-00
4/27/2009,Newcastle,Portsmouth,0-0
5/2/2009,Chelsea,Fulham,1-Mar
5/2/2009,Man City,Blackburn,1-Mar
5/2/2009,Middlesbrough,Man United,0-2
5/2/2009,Portsmouth,Arsenal,0-3
5/2/2009,Stoke,West Ham,0-1
5/2/2009,Tottenham,West Brom,Jan-00
5/2/2009,Wigan,Bolton,0-0
5/3/2009,Liverpool,Newcastle,Mar-00
5/3/2009,Sunderland,Everton,0-2
5/4/2009,Aston Villa,Hull,Jan-00
5/9/2009,Blackburn,Portsmouth,Feb-00
5/9/2009,Bolton,Sunderland,0-0
5/9/2009,Everton,Tottenham,0-0
5/9/2009,Fulham,Aston Villa,1-Mar
5/9/2009,Hull,Stoke,2-Jan
5/9/2009,West Brom,Wigan,1-Mar
5/9/2009,West Ham,Liverpool,0-3
5/10/2009,Arsenal,Chelsea,4-Jan
5/10/2009,Man United,Man City,Feb-00
5/11/2009,Newcastle,Middlesbrough,1-Mar
5/13/2009,Wigan,Man United,2-Jan
5/16/2009,Bolton,Hull,1-Jan
5/16/2009,Everton,West Ham,1-Mar
5/16/2009,Man United,Arsenal,0-0
5/16/2009,Middlesbrough,Aston Villa,1-Jan
5/16/2009,Newcastle,Fulham,0-1
5/16/2009,Stoke,Wigan,Feb-00
5/16/2009,Tottenham,Man City,1-Feb
5/17/2009,Chelsea,Blackburn,Feb-00
5/17/2009,West Brom,Liverpool,0-2
5/18/2009,Portsmouth,Sunderland,1-Mar
5/24/2009,Arsenal,Stoke,1-Apr
5/24/2009,Aston Villa,Newcastle,Jan-00
5/24/2009,Blackburn,West Brom,0-0
5/24/2009,Fulham,Everton,0-2
5/24/2009,Hull,Man United,0-1
5/24/2009,Liverpool,Tottenham,1-Mar
5/24/2009,Man City,Bolton,Jan-00
5/24/2009,Sunderland,Chelsea,3-Feb
5/24/2009,West Ham,Middlesbrough,1-Feb
5/24/2009,Wigan,Portsmouth,Jan-00
8/15/2009,Aston Villa,Wigan,0-2
8/15/2009,Blackburn,Man City,0-2
8/15/2009,Bolton,Sunderland,0-1
8/15/2009,Chelsea,Hull,1-Feb
8/15/2009,Everton,Arsenal,6-Jan
8/15/2009,Portsmouth,Fulham,0-1
8/15/2009,Stoke,Burnley,Feb-00
8/15/2009,Wolves,West Ham,0-2
8/16/2009,Man United,Birmingham,Jan-00
8/16/2009,Tottenham,Liverpool,1-Feb
8/18/2009,Sunderland,Chelsea,3-Jan
8/18/2009,Wigan,Wolves,0-1
8/19/2009,Birmingham,Portsmouth,Jan-00
8/19/2009,Burnley,Man United,Jan-00
8/19/2009,Hull,Tottenham,5-Jan
8/19/2009,Liverpool,Stoke,Apr-00
8/22/2009,Arsenal,Portsmouth,1-Apr
8/22/2009,Birmingham,Stoke,0-0
8/22/2009,Hull,Bolton,Jan-00
8/22/2009,Man City,Wolves,Jan-00
8/22/2009,Sunderland,Blackburn,1-Feb
8/22/2009,Wigan,Man United,0-5
8/23/2009,Burnley,Everton,Jan-00
8/23/2009,Fulham,Chelsea,0-2
8/23/2009,West Ham,Tottenham,2-Jan
8/24/2009,Liverpool,Aston Villa,3-Jan
8/29/2009,Blackburn,West Ham,0-0
8/29/2009,Bolton,Liverpool,3-Feb
8/29/2009,Chelsea,Burnley,Mar-00
8/29/2009,Man United,Arsenal,1-Feb
8/29/2009,Stoke,Sunderland,Jan-00
8/29/2009,Tottenham,Birmingham,1-Feb
8/29/2009,Wolves,Hull,1-Jan
8/30/2009,Aston Villa,Fulham,Feb-00
8/30/2009,Everton,Wigan,1-Feb
8/30/2009,Portsmouth,Man City,0-1
9/12/2009,Blackburn,Wolves,1-Mar
9/12/2009,Liverpool,Burnley,Apr-00
9/12/2009,Man City,Arsenal,2-Apr
9/12/2009,Portsmouth,Bolton,3-Feb
9/12/2009,Stoke,Chelsea,2-Jan
9/12/2009,Sunderland,Hull,1-Apr
9/12/2009,Tottenham,Man United,3-Jan
9/12/2009,Wigan,West Ham,Jan-00
9/13/2009,Birmingham,Aston Villa,0-1
9/13/2009,Fulham,Everton,1-Feb
9/19/2009,Arsenal,Wigan,Apr-00
9/19/2009,Aston Villa,Portsmouth,Feb-00
9/19/2009,Bolton,Stoke,1-Jan
9/19/2009,Burnley,Sunderland,1-Mar
9/19/2009,Hull,Birmingham,0-1
9/19/2009,West Ham,Liverpool,3-Feb
9/20/2009,Chelsea,Tottenham,Mar-00
9/20/2009,Everton,Blackburn,Mar-00
9/20/2009,Man United,Man City,3-Apr
9/20/2009,Wolves,Fulham,1-Feb
9/26/2009,Birmingham,Bolton,2-Jan
9/26/2009,Blackburn,Aston Villa,1-Feb
9/26/2009,Fulham,Arsenal,0-1
9/26/2009,Liverpool,Hull,1-Jun
9/26/2009,Portsmouth,Everton,0-1
9/26/2009,Stoke,Man United,0-2
9/26/2009,Tottenham,Burnley,May-00
9/26/2009,Wigan,Chelsea,1-Mar
9/27/2009,Sunderland,Wolves,2-May
9/28/2009,Man City,West Ham,1-Mar
10/3/2009,Bolton,Tottenham,2-Feb
10/3/2009,Burnley,Birmingham,1-Feb
10/3/2009,Hull,Wigan,1-Feb
10/3/2009,Man United,Sunderland,2-Feb
10/3/2009,Wolves,Portsmouth,0-1
10/4/2009,Arsenal,Blackburn,2-Jun
10/4/2009,Chelsea,Liverpool,Feb-00
10/4/2009,Everton,Stoke,1-Jan
10/4/2009,West Ham,Fulham,2-Feb
10/5/2009,Aston Villa,Man City,1-Jan
10/17/2009,Arsenal,Birmingham,1-Mar
10/17/2009,Aston Villa,Chelsea,1-Feb
10/17/2009,Everton,Wolves,1-Jan
10/17/2009,Man United,Bolton,1-Feb
10/17/2009,Portsmouth,Tottenham,2-Jan
10/17/2009,Stoke,West Ham,1-Feb
10/17/2009,Sunderland,Liverpool,Jan-00
10/18/2009,Blackburn,Burnley,2-Mar
10/18/2009,Wigan,Man City,1-Jan
10/19/2009,Fulham,Hull,Feb-00
10/24/2009,Birmingham,Sunderland,1-Feb
10/24/2009,Burnley,Wigan,3-Jan
10/24/2009,Chelsea,Blackburn,May-00
10/24/2009,Hull,Portsmouth,0-0
10/24/2009,Tottenham,Stoke,0-1
10/24/2009,Wolves,Aston Villa,1-Jan
10/25/2009,Bolton,Everton,2-Mar
10/25/2009,Liverpool,Man United,Feb-00
10/25/2009,Man City,Fulham,2-Feb
10/25/2009,West Ham,Arsenal,2-Feb
10/31/2009,Arsenal,Tottenham,Mar-00
10/31/2009,Bolton,Chelsea,0-4
10/31/2009,Burnley,Hull,Feb-00
10/31/2009,Everton,Aston Villa,1-Jan
10/31/2009,Fulham,Liverpool,1-Mar
10/31/2009,Man United,Blackburn,Feb-00
10/31/2009,Portsmouth,Wigan,Apr-00
10/31/2009,Stoke,Wolves,2-Feb
10/31/2009,Sunderland,West Ham,2-Feb
11/1/2009,Birmingham,Man City,0-0
11/4/2009,West Ham,Aston Villa,1-Feb
11/7/2009,Aston Villa,Bolton,1-May
11/7/2009,Blackburn,Portsmouth,1-Mar
11/7/2009,Man City,Burnley,3-Mar
11/7/2009,Tottenham,Sunderland,Feb-00
11/7/2009,Wolves,Arsenal,4-Jan
11/8/2009,Chelsea,Man United,Jan-00
11/8/2009,Hull,Stoke,1-Feb
11/8/2009,West Ham,Everton,2-Jan
11/8/2009,Wigan,Fulham,1-Jan
11/9/2009,Liverpool,Birmingham,2-Feb
11/21/2009,Birmingham,Fulham,Jan-00
11/21/2009,Burnley,Aston Villa,1-Jan
11/21/2009,Chelsea,Wolves,Apr-00
11/21/2009,Hull,West Ham,3-Mar
11/21/2009,Liverpool,Man City,2-Feb
11/21/2009,Man United,Everton,Mar-00
11/21/2009,Sunderland,Arsenal,Jan-00
11/22/2009,Bolton,Blackburn,0-2
11/22/2009,Stoke,Portsmouth,Jan-00
11/22/2009,Tottenham,Wigan,1-Sep
11/25/2009,Fulham,Blackburn,Mar-00
11/25/2009,Hull,Everton,2-Mar
11/28/2009,Aston Villa,Tottenham,1-Jan
11/28/2009,Blackburn,Stoke,0-0
11/28/2009,Fulham,Bolton,1-Jan
11/28/2009,Man City,Hull,1-Jan
11/28/2009,Portsmouth,Man United,4-Jan
11/28/2009,West Ham,Burnley,3-May
11/28/2009,Wigan,Sunderland,Jan-00
11/29/2009,Arsenal,Chelsea,0-3
11/29/2009,Everton,Liverpool,0-2
11/29/2009,Wolves,Birmingham,0-1
12/5/2009,Arsenal,Stoke,Feb-00
12/5/2009,Aston Villa,Hull,Mar-00
12/5/2009,Blackburn,Liverpool,0-0
12/5/2009,Man City,Chelsea,1-Feb
12/5/2009,Portsmouth,Burnley,Feb-00
12/5/2009,West Ham,Man United,0-4
12/5/2009,Wigan,Birmingham,3-Feb
12/5/2009,Wolves,Bolton,1-Feb
12/6/2009,Everton,Tottenham,2-Feb
12/6/2009,Fulham,Sunderland,Jan-00
12/12/2009,Birmingham,West Ham,Jan-00
12/12/2009,Bolton,Man City,3-Mar
12/12/2009,Burnley,Fulham,1-Jan
12/12/2009,Chelsea,Everton,3-Mar
12/12/2009,Hull,Blackburn,0-0
12/12/2009,Man United,Aston Villa,0-1
12/12/2009,Stoke,Wigan,2-Feb
12/12/2009,Sunderland,Portsmouth,1-Jan
12/12/2009,Tottenham,Wolves,0-1
12/13/2009,Liverpool,Arsenal,2-Jan
12/15/2009,Birmingham,Blackburn,1-Feb
12/15/2009,Bolton,West Ham,1-Mar
12/15/2009,Man United,Wolves,Mar-00
12/15/2009,Sunderland,Aston Villa,0-2
12/16/2009,Burnley,Arsenal,1-Jan
12/16/2009,Chelsea,Portsmouth,1-Feb
12/16/2009,Liverpool,Wigan,1-Feb
12/16/2009,Tottenham,Man City,Mar-00
12/19/2009,Arsenal,Hull,Mar-00
12/19/2009,Aston Villa,Stoke,Jan-00
12/19/2009,Blackburn,Tottenham,0-2
12/19/2009,Fulham,Man United,Mar-00
12/19/2009,Man City,Sunderland,3-Apr
12/19/2009,Portsmouth,Liverpool,Feb-00
12/20/2009,Everton,Birmingham,1-Jan
12/20/2009,West Ham,Chelsea,1-Jan
12/20/2009,Wolves,Burnley,Feb-00
12/26/2009,Birmingham,Chelsea,0-0
12/26/2009,Burnley,Bolton,1-Jan
12/26/2009,Fulham,Tottenham,0-0
12/26/2009,Liverpool,Wolves,Feb-00
12/26/2009,Man City,Stoke,Feb-00
12/26/2009,Sunderland,Everton,1-Jan
12/26/2009,West Ham,Portsmouth,Feb-00
12/26/2009,Wigan,Blackburn,1-Jan
12/27/2009,Arsenal,Aston Villa,Mar-00
12/27/2009,Hull,Man United,3-Jan
12/28/2009,Blackburn,Sunderland,2-Feb
12/28/2009,Chelsea,Fulham,1-Feb
12/28/2009,Everton,Burnley,Feb-00
12/28/2009,Stoke,Birmingham,0-1
12/28/2009,Tottenham,West Ham,Feb-00
12/28/2009,Wolves,Man City,0-3
12/29/2009,Aston Villa,Liverpool,0-1
12/29/2009,Bolton,Hull,2-Feb
12/30/2009,Man United,Wigan,May-00
12/30/2009,Portsmouth,Arsenal,4-Jan
1/5/2010,Stoke,Fulham,2-Mar
1/9/2010,Arsenal,Everton,2-Feb
1/9/2010,Birmingham,Man United,1-Jan
1/11/2010,Man City,Blackburn,1-Apr
1/16/2010,Chelsea,Sunderland,2-Jul
1/16/2010,Everton,Man City,Feb-00
1/16/2010,Man United,Burnley,Mar-00
1/16/2010,Stoke,Liverpool,1-Jan
1/16/2010,Tottenham,Hull,0-0
1/16/2010,Wolves,Wigan,0-2
1/17/2010,Aston Villa,West Ham,0-0
1/17/2010,Blackburn,Fulham,Feb-00
1/17/2010,Bolton,Arsenal,0-2
1/20/2010,Arsenal,Bolton,2-Apr
1/20/2010,Liverpool,Tottenham,Feb-00
1/23/2010,Man United,Hull,Apr-00
1/26/2010,Bolton,Burnley,Jan-00
1/26/2010,Portsmouth,West Ham,1-Jan
1/26/2010,Tottenham,Fulham,Feb-00
1/26/2010,Wolves,Liverpool,0-0
1/27/2010,Aston Villa,Arsenal,0-0
1/27/2010,Blackburn,Wigan,1-Feb
1/27/2010,Chelsea,Birmingham,Mar-00
1/27/2010,Everton,Sunderland,Feb-00
1/30/2010,Birmingham,Tottenham,1-Jan
1/30/2010,Burnley,Chelsea,2-Jan
1/30/2010,Fulham,Aston Villa,0-2
1/30/2010,Hull,Wolves,2-Feb
1/30/2010,Liverpool,Bolton,Feb-00
1/30/2010,West Ham,Blackburn,0-0
1/30/2010,Wigan,Everton,0-1
1/31/2010,Arsenal,Man United,3-Jan
1/31/2010,Man City,Portsmouth,Feb-00
2/1/2010,Sunderland,Stoke,0-0
2/2/2010,Hull,Chelsea,1-Jan
2/3/2010,Fulham,Portsmouth,Jan-00
2/6/2010,Bolton,Fulham,0-0
2/6/2010,Burnley,West Ham,1-Feb
2/6/2010,Hull,Man City,1-Feb
2/6/2010,Liverpool,Everton,Jan-00
2/6/2010,Man United,Portsmouth,May-00
2/6/2010,Stoke,Blackburn,Mar-00
2/6/2010,Sunderland,Wigan,1-Jan
2/6/2010,Tottenham,Aston Villa,0-0
2/7/2010,Birmingham,Wolves,1-Feb
2/7/2010,Chelsea,Arsenal,Feb-00
2/9/2010,Fulham,Burnley,Mar-00
2/9/2010,Man City,Bolton,Feb-00
2/9/2010,Portsmouth,Sunderland,1-Jan
2/9/2010,Wigan,Stoke,1-Jan
2/10/2010,Arsenal,Liverpool,Jan-00
2/10/2010,Aston Villa,Man United,1-Jan
2/10/2010,Blackburn,Hull,Jan-00
2/10/2010,Everton,Chelsea,1-Feb
2/10/2010,West Ham,Birmingham,Feb-00
2/10/2010,Wolves,Tottenham,Jan-00
2/16/2010,Stoke,Man City,1-Jan
2/17/2010,Wigan,Bolton,0-0
2/20/2010,Arsenal,Sunderland,Feb-00
2/20/2010,Everton,Man United,1-Mar
2/20/2010,Portsmouth,Stoke,2-Jan
2/20/2010,West Ham,Hull,Mar-00
2/20/2010,Wolves,Chelsea,0-2
2/21/2010,Aston Villa,Burnley,2-May
2/21/2010,Blackburn,Bolton,Mar-00
2/21/2010,Fulham,Birmingham,1-Feb
2/21/2010,Man City,Liverpool,0-0
2/21/2010,Wigan,Tottenham,0-3
2/23/2010,Man United,West Ham,Mar-00
2/27/2010,Birmingham,Wigan,Jan-00
2/27/2010,Bolton,Wolves,Jan-00
2/27/2010,Burnley,Portsmouth,2-Jan
2/27/2010,Chelsea,Man City,4-Feb
2/27/2010,Stoke,Arsenal,3-Jan
2/28/2010,Liverpool,Blackburn,1-Feb
2/28/2010,Sunderland,Fulham,0-0
2/28/2010,Tottenham,Everton,1-Feb
3/6/2010,Arsenal,Burnley,1-Mar
3/6/2010,West Ham,Bolton,2-Jan
3/6/2010,Wolves,Man United,0-1
3/7/2010,Everton,Hull,1-May
3/8/2010,Wigan,Liverpool,Jan-00
3/9/2010,Portsmouth,Birmingham,2-Jan
3/9/2010,Sunderland,Bolton,Apr-00
3/10/2010,Burnley,Stoke,1-Jan
3/13/2010,Birmingham,Everton,2-Feb
3/13/2010,Bolton,Wigan,Apr-00
3/13/2010,Burnley,Wolves,2-Jan
3/13/2010,Chelsea,West Ham,1-Apr
3/13/2010,Hull,Arsenal,2-Jan
3/13/2010,Stoke,Aston Villa,0-0
3/13/2010,Tottenham,Blackburn,1-Mar
3/14/2010,Man United,Fulham,Mar-00
3/14/2010,Sunderland,Man City,1-Jan
3/15/2010,Liverpool,Portsmouth,1-Apr
3/16/2010,Wigan,Aston Villa,2-Jan
3/20/2010,Arsenal,West Ham,Feb-00
3/20/2010,Aston Villa,Wolves,2-Feb
3/20/2010,Everton,Bolton,Feb-00
3/20/2010,Portsmouth,Hull,2-Mar
3/20/2010,Stoke,Tottenham,2-Jan
3/20/2010,Sunderland,Birmingham,1-Mar
3/20/2010,Wigan,Burnley,Jan-00
3/21/2010,Blackburn,Chelsea,1-Jan
3/21/2010,Fulham,Man City,2-Jan
3/21/2010,Man United,Liverpool,1-Feb
3/23/2010,West Ham,Wolves,3-Jan
3/24/2010,Aston Villa,Sunderland,1-Jan
3/24/2010,Blackburn,Birmingham,1-Feb
3/24/2010,Man City,Everton,0-2
3/24/2010,Portsmouth,Chelsea,0-5
3/27/2010,Birmingham,Arsenal,1-Jan
3/27/2010,Bolton,Man United,0-4
3/27/2010,Chelsea,Aston Villa,1-Jul
3/27/2010,Hull,Fulham,Feb-00
3/27/2010,Tottenham,Portsmouth,Feb-00
3/27/2010,West Ham,Stoke,0-1
3/27/2010,Wolves,Everton,0-0
3/28/2010,Burnley,Blackburn,0-1
3/28/2010,Liverpool,Sunderland,Mar-00
3/29/2010,Man City,Wigan,Mar-00
4/3/2010,Arsenal,Wolves,Jan-00
4/3/2010,Bolton,Aston Villa,0-1
4/3/2010,Burnley,Man City,6-Jan
4/3/2010,Man United,Chelsea,2-Jan
4/3/2010,Portsmouth,Blackburn,0-0
4/3/2010,Stoke,Hull,Feb-00
4/3/2010,Sunderland,Tottenham,1-Mar
4/4/2010,Birmingham,Liverpool,1-Jan
4/4/2010,Everton,West Ham,2-Feb
4/4/2010,Fulham,Wigan,1-Feb
4/10/2010,Hull,Burnley,4-Jan
4/10/2010,West Ham,Sunderland,Jan-00
4/11/2010,Blackburn,Man United,0-0
4/11/2010,Liverpool,Fulham,0-0
4/11/2010,Man City,Birmingham,1-May
4/11/2010,Wolves,Stoke,0-0
4/13/2010,Chelsea,Bolton,Jan-00
4/14/2010,Aston Villa,Everton,2-Feb
4/14/2010,Tottenham,Arsenal,1-Feb
4/14/2010,Wigan,Portsmouth,0-0
4/17/2010,Birmingham,Hull,0-0
4/17/2010,Blackburn,Everton,3-Feb
4/17/2010,Fulham,Wolves,0-0
4/17/2010,Man City,Man United,0-1
4/17/2010,Stoke,Bolton,2-Jan
4/17/2010,Sunderland,Burnley,1-Feb
4/17/2010,Tottenham,Chelsea,1-Feb
4/18/2010,Portsmouth,Aston Villa,2-Jan
4/18/2010,Wigan,Arsenal,2-Mar
4/19/2010,Liverpool,West Ham,Mar-00
4/21/2010,Hull,Aston Villa,0-2
4/24/2010,Arsenal,Man City,0-0
4/24/2010,Bolton,Portsmouth,2-Feb
4/24/2010,Hull,Sunderland,0-1
4/24/2010,Man United,Tottenham,1-Mar
4/24/2010,West Ham,Wigan,2-Mar
4/24/2010,Wolves,Blackburn,1-Jan
4/25/2010,Aston Villa,Birmingham,Jan-00
4/25/2010,Burnley,Liverpool,0-4
4/25/2010,Chelsea,Stoke,Jul-00
4/25/2010,Everton,Fulham,1-Feb
5/1/2010,Birmingham,Burnley,1-Feb
5/1/2010,Man City,Aston Villa,1-Mar
5/1/2010,Portsmouth,Wolves,1-Mar
5/1/2010,Stoke,Everton,0-0
5/1/2010,Tottenham,Bolton,Jan-00
5/2/2010,Fulham,West Ham,2-Mar
5/2/2010,Liverpool,Chelsea,0-2
5/2/2010,Sunderland,Man United,0-1
5/3/2010,Blackburn,Arsenal,1-Feb
5/3/2010,Wigan,Hull,2-Feb
5/5/2010,Fulham,Stoke,0-1
5/5/2010,Man City,Tottenham,0-1
5/9/2010,Arsenal,Fulham,Apr-00
5/9/2010,Aston Villa,Blackburn,0-1
5/9/2010,Bolton,Birmingham,1-Feb
5/9/2010,Burnley,Tottenham,2-Apr
5/9/2010,Chelsea,Wigan,Aug-00
5/9/2010,Everton,Portsmouth,Jan-00
5/9/2010,Hull,Liverpool,0-0
5/9/2010,Man United,Stoke,Apr-00
5/9/2010,West Ham,Man City,1-Jan
5/9/2010,Wolves,Sunderland,1-Feb
8/14/2010,Aston Villa,West Ham,Mar-00
8/14/2010,Blackburn,Everton,Jan-00
8/14/2010,Bolton,Fulham,0-0
8/14/2010,Chelsea,West Brom,Jun-00
8/14/2010,Sunderland,Birmingham,2-Feb
8/14/2010,Tottenham,Man City,0-0
